Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
4.17E-07,417.0,2.974,1.2312E+00,1.7272E+02
4.16E-07,416.0,2.981,1.2624E+00,1.7625E+02
4.15E-07,415.0,2.988,1.2258E+00,1.7032E+02
4.14E-07,414.0,2.995,1.1842E+00,1.6375E+02
4.13E-07,413.0,3.002,1.1971E+00,1.6473E+02
4.12E-07,412.0,3.010,1.2478E+00,1.7088E+02
4.11E-07,411.0,3.017,1.1738E+00,1.5997E+02
4.10E-07,410.0,3.024,1.0485E+00,1.4220E+02
4.09E-07,409.0,3.032,1.2299E+00,1.6599E+02
4.08E-07,408.0,3.039,1.1514E+00,1.5463E+02
4.07E-07,407.0,3.047,1.1026E+00,1.4735E+02
4.06E-07,406.0,3.054,1.1227E+00,1.4930E+02
4.05E-07,405.0,3.062,1.1511E+00,1.5233E+02
4.04E-07,404.0,3.069,1.1801E+00,1.5539E+02
4.03E-07,403.0,3.077,1.1613E+00,1.5216E+02
4.02E-07,402.0,3.085,1.2061E+00,1.5725E+02
4.01E-07,401.0,3.092,1.1603E+00,1.5053E+02
4.00E-07,400.0,3.100,1.1141E+00,1.4381E+02
4.00E-07,399.5,3.104,1.1021E+00,1.4191E+02
3.99E-07,399.0,3.108,1.0693E+00,1.3734E+02
3.99E-07,398.5,3.112,1.0069E+00,1.2900E+02
3.98E-07,398.0,3.116,8.5249E-01,1.0895E+02
3.98E-07,397.5,3.119,6.2945E-01,8.0240E+01
3.97E-07,397.0,3.123,4.2619E-01,5.4192E+01
3.97E-07,396.5,3.127,5.5017E-01,6.9781E+01
3.96E-07,396.0,3.131,7.5655E-01,9.5715E+01
3.96E-07,395.5,3.135,8.6038E-01,1.0858E+02
3.95E-07,395.0,3.139,8.0772E-01,1.0167E+02
3.95E-07,394.5,3.143,6.8385E-01,8.5863E+01
3.94E-07,394.0,3.147,4.9567E-01,6.2078E+01
3.94E-07,393.5,3.151,3.8152E-01,4.7661E+01
3.93E-07,393.0,3.155,4.7975E-01,5.9780E+01
3.93E-07,392.5,3.159,6.6257E-01,8.2350E+01
3.92E-07,392.0,3.163,7.9493E-01,9.8549E+01
3.92E-07,391.5,3.167,8.6344E-01,1.0677E+02
3.91E-07,391.0,3.171,8.5138E-01,1.0501E+02
3.91E-07,390.5,3.175,8.0371E-01,9.8877E+01
3.90E-07,390.0,3.179,7.9699E-01,9.7799E+01
3.90E-07,389.5,3.184,7.5970E-01,9.2984E+01
3.89E-07,389.0,3.188,6.8543E-01,8.3679E+01
3.89E-07,388.5,3.192,6.3136E-01,7.6880E+01
3.88E-07,388.0,3.196,6.3582E-01,7.7224E+01
3.88E-07,387.5,3.200,6.4204E-01,7.7778E+01
3.87E-07,387.0,3.204,6.5147E-01,7.8717E+01
3.87E-07,386.5,3.208,6.4570E-01,7.7819E+01
3.86E-07,386.0,3.212,6.2100E-01,7.4648E+01
3.86E-07,385.5,3.217,6.4363E-01,7.7168E+01
3.85E-07,385.0,3.221,6.7355E-01,8.0546E+01
3.85E-07,384.5,3.225,6.1359E-01,7.3185E+01
3.84E-07,384.0,3.229,5.0968E-01,6.0634E+01
3.84E-07,383.5,3.233,4.4049E-01,5.2266E+01
3.83E-07,383.0,3.238,4.5499E-01,5.3846E+01
3.83E-07,382.5,3.242,5.0762E-01,5.9918E+01
3.82E-07,382.0,3.246,5.8678E-01,6.9080E+01
3.82E-07,381.5,3.250,6.8837E-01,8.0828E+01
3.81E-07,381.0,3.255,7.6383E-01,8.9454E+01
3.81E-07,380.5,3.259,7.5075E-01,8.7692E+01
3.80E-07,380.0,3.263,7.0077E-01,8.1639E+01
3.80E-07,379.5,3.267,6.6683E-01,7.7480E+01
3.79E-07,379.0,3.272,7.4389E-01,8.6207E+01
3.79E-07,378.5,3.276,8.3418E-01,9.6415E+01
3.78E-07,378.0,3.280,8.5595E-01,9.8670E+01
3.78E-07,377.5,3.285,7.9455E-01,9.1350E+01
3.77E-07,377.0,3.289,7.1225E-01,8.1671E+01
3.77E-07,376.5,3.293,6.6390E-01,7.5925E+01
3.76E-07,376.0,3.298,6.7480E-01,7.6967E+01
3.76E-07,375.5,3.302,6.5162E-01,7.4126E+01
3.75E-07,375.0,3.307,5.8930E-01,6.6858E+01
3.75E-07,374.5,3.311,5.5227E-01,6.2490E+01
3.74E-07,374.0,3.316,5.5640E-01,6.2789E+01
