Es/eV,AM1.5/W m^-2 eV^-1,AM15flux/m^-2eV^-1s^-1,flux_cumm(AM 1.5 or bb @ 5800 K),Flux_above_E, Jsc/mA*cm^-2
1.920,4.78E+02,1.5555E+21,-1.0277E+21,1.0277E+21,14.82
1.910,4.60E+02,1.5040E+21,-1.0430E+21,1.0430E+21,15.04
1.900,4.86E+02,1.5972E+21,-1.0585E+21,1.0585E+21,15.26
1.890,4.13E+02,1.3644E+21,-1.0733E+21,1.0733E+21,15.48
1.880,4.90E+02,1.6261E+21,-1.0882E+21,1.0882E+21,15.69
1.870,4.92E+02,1.6407E+21,-1.1046E+21,1.1046E+21,15.93
1.860,5.07E+02,1.7008E+21,-1.1213E+21,1.1213E+21,16.17
1.850,5.14E+02,1.7351E+21,-1.1385E+21,1.1385E+21,16.42
1.840,5.16E+02,1.7495E+21,-1.1559E+21,1.1559E+21,16.67
1.830,5.20E+02,1.7732E+21,-1.1735E+21,1.1735E+21,16.92
1.820,5.22E+02,1.7898E+21,-1.1913E+21,1.1913E+21,17.18
1.810,5.20E+02,1.7917E+21,-1.2092E+21,1.2092E+21,17.44
1.800,4.31E+02,1.4962E+21,-1.2257E+21,1.2257E+21,17.67
1.790,4.89E+02,1.7050E+21,-1.2417E+21,1.2417E+21,17.90
1.780,5.14E+02,1.8035E+21,-1.2592E+21,1.2592E+21,18.16
1.770,5.04E+02,1.7775E+21,-1.2771E+21,1.2771E+21,18.42
1.760,5.27E+02,1.8679E+21,-1.2953E+21,1.2953E+21,18.68
1.750,5.30E+02,1.8889E+21,-1.3141E+21,1.3141E+21,18.95
1.740,5.32E+02,1.9066E+21,-1.3331E+21,1.3331E+21,19.22
1.730,4.75E+02,1.7136E+21,-1.3512E+21,1.3512E+21,19.48
1.720,4.52E+02,1.6420E+21,-1.3680E+21,1.3680E+21,19.73
1.710,4.43E+02,1.6171E+21,-1.3843E+21,1.3843E+21,19.96
1.700,4.64E+02,1.7027E+21,-1.4009E+21,1.4009E+21,20.20
1.690,5.32E+02,1.9650E+21,-1.4192E+21,1.4192E+21,20.46
1.680,5.38E+02,1.9977E+21,-1.4390E+21,1.4390E+21,20.75
1.670,5.46E+02,2.0419E+21,-1.4592E+21,1.4592E+21,21.04
1.660,5.62E+02,2.1119E+21,-1.4800E+21,1.4800E+21,21.34
1.650,5.61E+02,2.1215E+21,-1.5012E+21,1.5012E+21,21.65
1.640,5.64E+02,2.1469E+21,-1.5225E+21,1.5225E+21,21.95
1.630,8.56E+01,3.2796E+20,-1.5349E+21,1.5349E+21,22.13
1.620,3.51E+02,1.3507E+21,-1.5433E+21,1.5433E+21,22.25
1.610,5.56E+02,2.1563E+21,-1.5608E+21,1.5608E+21,22.51
1.600,5.70E+02,2.2250E+21,-1.5827E+21,1.5827E+21,22.82
1.590,5.72E+02,2.2444E+21,-1.6051E+21,1.6051E+21,23.14
1.580,5.75E+02,2.2724E+21,-1.6277E+21,1.6277E+21,23.47
1.570,5.52E+02,2.1960E+21,-1.6500E+21,1.6500E+21,23.79
1.560,5.58E+02,2.2306E+21,-1.6721E+21,1.6721E+21,24.11
1.550,5.54E+02,2.2299E+21,-1.6944E+21,1.6944E+21,24.43
1.540,5.56E+02,2.2533E+21,-1.7168E+21,1.7168E+21,24.76
1.530,5.59E+02,2.2801E+21,-1.7395E+21,1.7395E+21,25.08
1.520,4.54E+02,1.8639E+21,-1.7602E+21,1.7602E+21,25.38
1.510,5.38E+02,2.2236E+21,-1.7807E+21,1.7807E+21,25.68
1.500,5.34E+02,2.2201E+21,-1.8029E+21,1.8029E+21,26.00
1.490,5.07E+02,2.1245E+21,-1.8246E+21,1.8246E+21,26.31
1.480,5.67E+02,2.3899E+21,-1.8472E+21,1.8472E+21,26.64
1.470,5.71E+02,2.4254E+21,-1.8713E+21,1.8713E+21,26.98
1.460,5.57E+02,2.3805E+21,-1.8953E+21,1.8953E+21,27.33
1.450,5.45E+02,2.3452E+21,-1.9189E+21,1.9189E+21,27.67
1.440,5.91E+02,2.5610E+21,-1.9434E+21,1.9434E+21,28.02
1.430,5.59E+02,2.4394E+21,-1.9684E+21,1.9684E+21,28.38
1.420,5.86E+02,2.5775E+21,-1.9935E+21,1.9935E+21,28.75
1.410,5.85E+02,2.5904E+21,-2.0194E+21,2.0194E+21,29.12
1.400,5.81E+02,2.5902E+21,-2.0453E+21,2.0453E+21,29.49
1.390,5.82E+02,2.6112E+21,-2.0713E+21,2.0713E+21,29.87
1.380,4.07E+02,1.8400E+21,-2.0935E+21,2.0935E+21,30.19
1.370,5.37E+02,2.4466E+21,-2.1150E+21,2.1150E+21,30.50
1.360,4.59E+02,2.1055E+21,-2.1377E+21,2.1377E+21,30.83
1.350,4.55E+02,2.1039E+21,-2.1588E+21,2.1588E+21,31.13
1.340,4.89E+02,2.2789E+21,-2.1807E+21,2.1807E+21,31.44
1.330,1.99E+02,9.3291E+20,-2.1968E+21,2.1968E+21,31.68
1.320,3.04E+02,1.4397E+21,-2.2086E+21,2.2086E+21,31.85
1.310,2.13E+02,1.0141E+21,-2.2209E+21,2.2209E+21,32.02
1.300,3.02E+02,1.4511E+21,-2.2332E+21,2.2332E+21,32.20
1.290,3.40E+02,1.6465E+21,-2.2487E+21,2.2487E+21,32.43
1.280,5.13E+02,2.5021E+21,-2.2694E+21,2.2694E+21,32.72
1.270,4.59E+02,2.2573E+21,-2.2932E+21,2.2932E+21,33.07
1.260,5.71E+02,2.8296E+21,-2.3187E+21,2.3187E+21,33.43
1.250,5.96E+02,2.9772E+21,-2.3477E+21,2.3477E+21,33.85
1.240,5.93E+02,2.9861E+21,-2.3775E+21,2.3775E+21,34.28
1.230,5.95E+02,3.0204E+21,-2.4076E+21,2.4076E+21,34.72
1.220,5.90E+02,3.0196E+21,-2.4378E+21,2.4378E+21,35.15
1.210,5.90E+02,3.0423E+21,-2.4681E+21,2.4681E+21,35.59
1.200,5.84E+02,3.0355E+21,-2.4985E+21,2.4985E+21,36.03
1.190,5.89E+02,3.0870E+21,-2.5291E+21,2.5291E+21,36.47
1.180,5.84E+02,3.0872E+21,-2.5599E+21,2.5599E+21,36.91
1.170,5.74E+02,3.0598E+21,-2.5907E+21,2.5907E+21,37.36
1.160,5.42E+02,2.9137E+21,-2.6205E+21,2.6205E+21,37.79
1.150,5.66E+02,3.0729E+21,-2.6505E+21,2.6505E+21,38.22
1.140,5.59E+02,3.0616E+21,-2.6811E+21,2.6811E+21,38.66
